state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Puerto Rico,,,,72,2022,3194807,1507344,66249,64750,226025,219493,144885,133024,179741,150535,182400,161268,188030,172588,198401,184443,1687463,57272,55860,210295,206991,153892,145346,175956,164214,212358,201957,213535,203439,237898,226723,186158,7119,7040,21672,21457,19370,17543,20135,17728,20205,18092,22344,20179,26762,24305,841326,33653,32781,113323,112241,68678,65769,90111,82511,102076,92759,100827,94454,114931,109645,46070,140460,68261,81136,77511,67480,79006,39140,128046,82973,96842,103822,88355,104376,2020855,63.3,867163,54.1,45.8,34.4,1423283,81.4,596061,41.3
Alabama,"1,375,674",,Not Adopted,1,2023,5022427,2412772,176722,170683,428525,408418,232787,189818,268163,218101,305391,254105,292027,254102,303609,278152,2609655,175216,170713,418659,403124,236739,204284,293404,260406,328286,285747,317413,284164,338031,310435,1267031,96752,92720,231602,220057,132405,103109,154294,127716,167654,140267,150458,131770,148314,136377,3256421,199092,195769,492226,476917,284382,253147,353638,309913,396670,349913,401867,363832,448342,414459,83797,181816,24441,24553,24870,24616,39742,90306,185674,38025,54585,45622,38483,49858,1937583,38.6,1045773,26,21.5,14.2,694916,62.1,1226353,32
Alaska,"251,929","73,550",Adopted,2,2023,702315,359739,29639,28218,67498,62389,27293,21077,46511,38298,52779,45217,42240,36815,44005,38348,342576,24590,23011,61555,56969,26212,21457,48378,42156,50818,44486,37980,33521,41664,37568,17605,846,702,2333,2333,1965,1316,2416,2162,4082,3182,2495,1778,2172,2164,416953,24689,23894,62325,59503,27118,22383,55477,48696,62760,57836,51527,46856,57574,52451,11996,25959,4696,8918,8354,6403,8714,10943,22335,7134,9904,9683,6354,6010,265704,37.8,106785,24.8,20.8,16.9,77040,69.5,187110,31.8
Arizona,"2,306,406","697,782",Adopted,4,2023,7321507,3622019,241846,223897,618592,558511,348495,281702,457273,371538,459200,391431,419093,361870,421089,383871,3699488,231330,215789,592860,540973,326822,276357,448328,390744,458214,402192,430319,378635,449794,410358,342799,29163,27261,67429,61084,35470,28060,50924,42974,48008,42161,40145,36687,34987,32023,4268342,216716,204242,554304,515371,337556,299122,472379,414106,495081,453381,488180,450560,578583,544188,93468,226346,57473,68312,65652,51525,66896,89942,202258,66749,103005,80211,69472,73432,2809406,38.4,1473434,22.5,23.2,14.9,870516,65.5,1917627,32.4
Arkansas,"967,900","301,705",Adopted,5,2023,3013015,1475166,108462,102563,272942,254495,138570,111649,171475,137978,191081,165472,171974,150796,180336,165426,1537849,106566,100992,255257,235303,140761,123623,172745,151980,198328,174444,180621,162470,190700,176840,426582,33214,31823,88067,83123,45191,38194,50076,41788,59356,52884,46055,42076,45679,42435,2077141,130865,125194,319108,301505,173294,150499,229237,198862,259628,235581,247861,227795,281276,262289,55867,126029,23704,30553,29446,25814,37431,55578,117265,34280,46235,43962,31192,41572,1294634,43,614339,31.8,27.3,19.1,498354,70.9,787907,34.7
California,"15,351,682","5,331,821",Adopted,6,2023,38495524,19093795,1286384,1251304,3301152,3183077,1752920,1544774,2539193,2211744,2726704,2421092,2391052,2147551,2291167,2138020,19401729,1221474,1192938,3149880,3046289,1724293,1579200,2496642,2298157,2650679,2444437,2406955,2217573,2352686,2223259,2029878,124415,120308,316431,304243,183358,165516,296760,266002,282150,262762,247188,235467,270326,258357,14785407,764079,746535,1929704,1877145,1133015,1059308,1731760,1609027,1962615,1858608,1781393,1700979,2082750,2003802,556522,1428966,474581,524761,505734,431369,472850,514766,1374896,529592,684935,618357,516024,545973,15501239,40.3,6411627,26.2,26.7,20.5,4805873,71.8,10588749,33.7
Colorado,"1,679,466","618,978",Adopted,8,2023,5776484,2902420,191008,183147,468090,446614,264241,237731,419094,361097,439987,388307,360055,327635,329257,302853,2874064,177144,171674,445542,427437,258542,236953,397542,365158,414139,382152,346031,319291,339993,319234,217050,15992,15710,36621,35141,22168,19942,34908,31271,34146,29829,25784,22684,22756,20663,4073178,214951,207996,568300,550024,343863,318216,565375,517184,595393,555945,499756,473432,514433,485308,69632,152593,47298,52779,52588,36915,44261,64021,153989,54409,73871,70806,47221,52641,1960488,33.9,957001,19.9,21,13.7,514899,66.1,1432108,29
Connecticut,"1,167,454","374,175",Adopted,9,2023,3573821,1748776,112528,109293,282674,271058,163223,148055,202578,174796,226719,200048,213886,192020,244215,232077,1825045,105376,102484,273730,264854,150433,137623,206512,189069,235075,218765,225325,211738,260006,250448,386527,27136,26032,68772,64765,36732,34155,58446,51824,54271,50032,48423,44323,45538,43561,2304480,112274,109462,301579,296547,184267,174113,238121,220040,269965,258816,278302,268002,369406,358217,42951,100569,38658,35545,33287,33782,37501,43674,99225,33303,54233,52825,38462,44552,1368995,38.3,705079,20.9,23.2,16,384089,73.2,970369,32.4
Delaware,"300,155","102,218",Adopted,10,2023,1017865,489208,32173,31048,82819,79090,40739,34960,54644,46192,60797,51996,53993,50150,65962,61954,528657,32647,31889,78901,73668,42554,38529,56075,50299,65329,59663,60302,56651,75183,71802,227778,15434,14965,45909,43399,22290,19934,24507,20814,30472,27570,26272,24598,29002,27314,604009,29078,28342,73416,70098,42685,39056,61648,56648,68569,64546,67985,65289,95713,91686,12886,31430,8566,9278,8964,6131,11537,16100,28791,9136,14829,13100,8801,15478,420552,41.3,230783,27.1,21.9,15,106049,71.9,311109,36.4
District of Columbia,"338,137","139,696",Adopted,11,2023,669458,314783,24232,24006,43091,42388,32012,30739,59103,56208,54496,52589,35196,34250,30456,28745,354675,21925,21925,44948,44175,40094,38945,71317,69384,57813,56498,35876,34108,32177,31246,272417,15924,15698,46601,45877,25332,23897,41025,38680,35527,33964,29571,28384,33275,31912,260215,14121,14121,20227,20138,30191,29677,65516,64746,52006,51550,26369,26191,19664,19411,8448,19815,7509,8911,6766,5683,9333,5689,18345,9430,10445,10323,6683,10895,225265,33.6,86486,35,20.6,17.8,92999,79.8,130980,24.7
Florida,"5,419,363",,Not Adopted,12,2023,22276397,10875485,699028,654330,1688286,1543689,887181,702300,1226743,937993,1405416,1130521,1337727,1140872,1438758,1284205,11400912,657760,618776,1602610,1480349,876822,735519,1257560,1044133,1434933,1223095,1389851,1225080,1558172,1405210,3268305,248718,231625,612086,564399,320211,256483,437830,343832,444194,372661,393233,339174,371728,334618,12356346,615441,581596,1511873,1406290,867822,739317,1240053,1036029,1382270,1192107,1394117,1240468,1838274,1671371,319028,632187,107267,108498,127639,114052,147253,291224,584095,139048,182729,194991,133736,167776,8352182,37.5,5029255,18.2,21.7,11.9,2381407,59,5926762,32.9
Georgia,"2,613,085",,Not Adopted,13,2023,10832829,5228013,383463,364981,989319,921422,496895,387656,640094,480211,684732,548733,663766,571404,633811,565160,5604816,368469,350869,942374,875216,504681,413947,684368,565879,766701,655228,720237,633763,688693,617840,3320370,234359,226244,624137,586166,323004,254567,447020,359944,450789,383372,430192,385179,393398,360550,5457338,320285,306358,817384,776896,467848,400926,611462,505083,692478,601994,695059,625130,758660,684601,176736,392920,48090,51363,45561,43887,64725,168278,371248,75266,105175,90155,62199,85363,3629622,33.5,1822075,19.7,19.8,13.1,1196801,56.8,2405800,27.9
Hawaii,"463,301","183,820",Adopted,15,2023,1378162,673111,45573,44516,113854,111173,46708,43373,74283,69580,88531,84480,80693,76947,86548,83849,705051,46173,43915,104237,101059,50344,47743,78240,74689,93171,89954,83265,80963,88246,84759,18891,1132,1132,3518,3518,946,931,3166,2545,3229,2981,2226,2226,2041,2041,285214,13417,13327,31667,31027,15295,13811,31986,30149,39540,38386,33632,31712,40169,37503,15834,39266,10032,13527,14567,10328,15426,15863,36967,10325,17415,17345,14118,13488,555022,40.3,300472,22.7,19.4,13.9,137988,67.9,414649,35.7
Idaho,"407,741","116,974",Adopted,16,2023,1938023,970476,71152,66153,185329,172939,89565,75215,115313,95116,126853,109578,113381,99529,108968,97864,967547,64586,60723,176177,164660,93191,82786,109229,94757,127246,112315,109001,98912,114212,103666,15939,2156,2156,3908,3792,2515,2454,2605,2171,1962,1919,869,869,1043,944,1583167,103244,97551,275367,262146,144627,128987,177321,153172,204922,183929,182205,167125,193049,175675,28085,58715,11857,18914,16226,11928,10928,26778,56594,20351,24176,17973,11184,14821,692694,35.7,360722,18.6,20.3,12.9,199944,64.9,487954,30.4
Illinois,"3,447,694","1,001,292",Adopted,17,2023,12378557,6083397,408833,397342,1052282,1011864,556877,490178,749340,651462,822741,731546,764907,695300,768008,713925,6295160,395603,385419,1009561,979083,543711,497009,757717,694117,830617,768981,773609,715310,803588,761410,1618644,115502,113762,290521,282720,152589,133663,220252,195495,208045,192635,191451,178326,197688,185016,7522002,429999,419204,1086755,1056708,591886,552527,860938,797117,973611,917987,924623,879099,1069960,1020710,152354,374208,94080,92958,98753,90383,107740,147814,360417,122740,159751,153803,115393,127219,4408073,35.6,2244622,20.5,21.7,14.9,1432631,70.7,2942490,28.8
Indiana,"2,050,762","604,263",Adopted,18,2023,6764280,3349099,250193,236093,618618,581848,328101,288156,394536,336226,427783,377268,404705,369033,409267,382655,3415181,234934,221788,570953,536584,317131,291669,401709,364693,434943,401621,404996,375402,425196,401499,596244,52837,49125,118012,111577,62764,53113,79542,67669,82393,71281,68109,62250,62834,60273,5190002,327999,308613,828055,780737,466345,427387,588156,526387,648981,596468,631205,590460,698244,659485,105019,217098,55509,56199,60256,47118,56008,101401,202585,72467,97414,89258,62292,77315,2526549,37.4,1260283,23.3,22.7,15.6,855320,70.4,1644988,30.2
Iowa,"769,742","249,804",Adopted,19,2023,3162048,1578133,112518,108569,278350,269818,161759,145123,179923,158631,202754,184751,182956,173615,194900,184266,1583915,108641,103853,267773,258919,148370,135966,174655,162553,202786,189268,177810,170232,200367,191378,124660,15561,15325,28375,27271,16841,13595,17179,13852,17488,15184,12440,11386,9666,8573,2663195,166942,159982,425445,414868,249592,230973,283759,264447,334545,315926,306657,296304,357239,341540,47492,99674,24972,25977,25830,20865,27940,45949,98331,33666,42781,39801,26434,31980,1194681,37.8,616671,20.9,20.7,14.1,354464,68.5,829720,32
Kansas,"436,501",,Not Adopted,20,2023,2876621,1431772,102284,96829,272117,255375,146618,122681,162926,134545,186201,157507,162610,144821,166548,152075,1444849,102323,99121,249430,234280,136645,120866,164628,144149,189521,171817,158642,144209,175715,161673,146035,10803,10555,26603,25295,17355,14802,18952,13746,21915,17794,13725,12954,17003,15622,2189112,141835,136511,360064,342738,199731,178686,239106,212212,283054,256270,246980,229496,282077,261126,35415,81951,11857,11177,11358,10304,13768,36017,74539,17755,24925,20094,12212,14148,910705,31.7,533599,16.2,16.6,9.9,273909,56.1,629664,26.8
Kentucky,"1,580,286","644,691",Adopted,21,2023,4442248,2184225,165298,159528,381860,368324,203087,178583,259047,228339,272501,246308,270522,251239,277436,261687,2258023,152366,147214,364054,351893,198446,183177,261686,244040,280428,261334,276466,260839,297463,280487,323321,28896,27833,61731,58962,33895,29893,43091,37288,41320,37012,35383,33263,36655,34205,3675527,239524,231309,576621,560220,317787,289666,420091,387098,454695,427199,457712,434750,500947,475553,88108,170206,43634,59009,57565,52259,56880,76397,162846,65246,85190,77983,66030,70927,2006217,45.2,899377,32.7,28.6,21.1,815253,77.9,1174969,35.1
Louisiana,"2,053,888","786,670",Adopted,22,2023,4477873,2158562,173765,165680,403635,385076,189204,160859,247173,197785,287804,248854,249907,221321,263392,248573,2319311,159687,153065,389673,374564,196838,182160,268537,241176,312617,287512,267639,252254,294619,280337,1346232,106445,101866,264445,258206,132270,118564,162864,142337,180488,161882,150921,137121,159674,153375,2547424,160492,155825,393525,383136,201747,184248,279516,245939,335902,315265,303981,285770,348632,331968,101862,210854,52298,56803,56203,53485,59564,89231,207139,79136,96404,96343,69676,79779,2146285,47.9,878850,32.7,31.3,24.3,888058,76.9,1240486,37.8
Maine,"411,101","116,816",Adopted,23,2023,1378322,675528,35750,34711,99015,94229,56037,50208,74390,62832,85629,77216,81682,74812,99471,92785,702794,36662,34845,89729,86303,53528,50669,77243,69400,88529,80580,84672,79925,106777,100361,24434,1763,1605,4987,4649,3068,2330,3641,3154,5778,4924,2933,2436,1424,1414,1241985,61375,58834,160542,154021,95234,88562,133599,116470,151462,138179,150125,139737,193255,180693,13914,33874,11105,14112,15972,12548,16274,13804,32398,10925,19765,18897,15084,17171,577004,41.9,340552,23.4,22.4,13.4,163398,75.5,407743,35.8
Maryland,"1,609,764","466,465",Adopted,24,2023,6087312,2933923,213584,203453,516279,493760,251912,224313,337227,295641,400084,354849,368796,337596,386669,361534,3153389,206594,195717,500762,477034,252393,232518,362126,328730,431934,393727,390875,366228,425935,406789,1770893,119192,113117,294578,283205,154780,144307,222366,197720,245349,226815,227071,213870,240630,228658,2911048,163689,159368,410203,399246,216535,206646,318308,301790,375941,358679,346426,333528,435463,420554,74091,166059,49928,50517,50626,37509,49957,72450,159044,56443,72276,69607,51953,67811,2107591,34.6,1078284,20,18.5,13.8,555065,67.2,1534130,29.6
Massachusetts,"2,282,087","507,451",Adopted,25,2023,6934075,3382202,212930,210383,521880,514513,330355,312609,434347,405004,455585,436469,409952,398914,454402,441759,3551873,198223,195678,503371,494641,342330,329413,435465,420831,463142,449201,429973,420475,483428,474777,483719,35851,35800,90246,88292,52328,48622,68329,63446,66417,65227,59587,56820,52745,50529,4703007,216507,214500,594818,587255,422086,409293,541227,521409,577296,559894,568168,557774,724888,712390,74226,179705,69036,83762,91735,72333,87943,75129,175894,70837,101665,113622,90605,104972,2631745,38,1296056,23.4,20.9,15.9,751452,76.2,1860672,32.2
Michigan,"3,127,783","1,092,022",Adopted,26,2023,9931639,4893947,321735,311780,821905,796708,456164,416348,594509,525883,600912,548334,583910,548723,648212,618199,5037692,316230,307211,781849,759671,449154,422857,576218,540287,613626,581662,598912,571459,677644,651817,1286922,101817,100108,235904,231888,126023,115147,176769,157270,154878,142224,154064,145219,147229,140113,7343582,416860,402925,1067000,1036482,628750,591309,816060,754744,890223,836510,876999,838473,1060909,1019726,137007,309840,96394,114418,112313,98694,119106,136043,292421,118576,172140,154776,116213,136930,4105803,41.3,2077985,26,22.7,16.7,1395279,74.6,2682638,33.7
Minnesota,"1,423,199","327,246",Adopted,27,2023,5678023,2838552,197706,192357,496580,479025,254253,233224,332588,304391,391949,364898,338146,321631,361773,344259,2839471,191688,185249,483845,467112,240964,225824,328125,308085,386038,368237,323356,310390,361178,348783,404574,41472,39980,103550,97454,42054,38228,54177,48264,62132,56122,45992,42794,30431,27725,4352641,254087,247558,644778,628086,354043,333739,474886,449013,577066,554374,517108,500970,625136,603426,69187,154906,41993,47714,54331,41085,46480,63758,148351,45647,70902,76401,47865,50470,1992098,35.1,1037751,18.7,18.8,13.5,558649,71.5,1421468,29.4
Mississippi,"862,377",,Not Adopted,28,2023,2874290,1378003,101050,96159,268040,248641,136152,105011,137976,106176,177269,141603,166931,143227,168805,152387,1496287,98134,94375,251464,236104,133502,110484,162260,138506,199174,168188,184021,166385,189906,172996,1023541,72215,69074,204176,195394,104807,78321,109973,86406,142825,116052,127275,112010,119223,107495,1598359,96566,92632,254382,236951,135784,116301,163908,138243,197384,169501,195135,176430,216145,196753,52649,127322,17012,13570,18611,15959,25473,50498,116487,25310,30674,29131,24333,33884,1151219,40.1,583205,27.6,23.6,16.3,479121,62.7,660686,31.9
Missouri,"1,501,975","354,187",Adopted,29,2023,6094536,2992012,217909,205538,528035,497979,275075,232366,354684,292570,389003,343430,349511,316313,378256,347769,3102524,202228,192949,497008,471201,277601,244549,360470,322893,398200,360709,361056,333502,403137,376623,647281,53366,50965,122808,117273,64545,50355,91127,72921,79497,68729,72934,66593,75829,68717,4746296,294745,279670,734028,695410,411524,363565,529675,464399,617926,558317,563320,519872,646272,601458,90930,183770,29759,30238,36667,31208,42849,80857,172393,49137,66873,63479,41444,57014,2195126,36,1222364,22.6,21.5,13,708773,64.3,1466015,29.8
Montana,"297,581","117,294",Adopted,30,2023,1115486,560016,34102,31569,92640,85843,51191,43141,65098,53656,75485,65401,63240,56535,69407,62106,555470,32794,31000,88128,82434,47020,40744,63777,57334,72757,65347,61263,54947,71945,65549,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,946137,53228,49907,139654,131871,80704,70317,106790,94182,124576,111174,107162,98163,124038,113387,14514,34575,8212,12160,12852,7263,9281,13596,34212,10520,17467,15667,10540,12580,458620,41.1,238010,22.5,23.8,15.7,129300,66.5,326038,35.8
Nebraska,"400,691","86,112",Adopted,31,2023,1951731,975429,75296,73056,183111,175073,96903,82343,113493,98466,128389,115529,110815,101286,114454,108037,976302,68620,66365,176694,170669,93086,84037,109211,99933,129834,121017,107855,101093,114143,107614,86536,8080,7215,18271,16352,9865,7239,11819,9201,12342,10952,9908,8317,8585,7982,1517627,98317,96666,251354,243767,139386,126869,163255,150894,199846,188252,172594,164611,192554,183818,24709,54392,10700,8794,12774,9333,11565,22298,55998,16376,18278,19777,10553,12893,637284,32.7,351738,16.7,17.5,11,190923,62,441747,27.3
Nevada,"829,825","368,296",Adopted,32,2023,3154027,1575623,105042,98128,266015,244097,127627,104929,201807,161181,220879,182331,199287,170762,195486,175125,1578404,103870,97002,247389,225762,124373,105619,201146,170836,216897,183447,197840,173262,196267,178811,291222,22678,21456,54036,52055,23611,19018,43572,38089,44433,40924,34127,31374,32843,29476,1568561,70572,68395,201210,190210,105839,94321,178316,153938,207503,186060,198492,180001,227891,210469,49240,97846,26160,33940,27695,20331,25740,44826,87730,25602,48528,39343,25839,32985,1179714,37.4,576436,22.5,22.4,14.4,369939,64.4,804588,31.4
